GEOID,Census_Tract,NAME,LOWEST_QUINTILE,SECOND_QUINTILE,THIRD_QUINTILE,FOURTH_QUINTILE,HIGHEST_QUINTILE,TOP5_QUINTILE
1400000US53001950100,53001950100,"Census Tract 9501, Adams County, Washington",11573,29197,48187,73762,133237,184869
1400000US53001950200,53001950200,"Census Tract 9502, Adams County, Washington",12130,39023,57074,72915,129508,213683
1400000US53001950300,53001950300,"Census Tract 9503, Adams County, Washington",15429,28235,45958,79114,169459,269283
1400000US53001950400,53001950400,"Census Tract 9504, Adams County, Washington",14321,31573,48727,79000,147497,235436
1400000US53001950500,53001950500,"Census Tract 9505, Adams County, Washington",7172,31294,51320,75440,173016,386217
1400000US53003960100,53003960100,"Census Tract 9601, Asotin County, Washington",20934,50664,76460,115813,235763,402626
1400000US53003960200,53003960200,"Census Tract 9602, Asotin County, Washington",22970,40027,58897,98577,192648,368780
1400000US53003960300,53003960300,"Census Tract 9603, Asotin County, Washington",10095,24510,37185,56759,95579,142003
1400000US53003960400,53003960400,"Census Tract 9604, Asotin County, Washington",8228,22290,41510,68234,114593,152887
1400000US53003960500,53003960500,"Census Tract 9605, Asotin County, Washington",13496,28922,42265,64998,120300,180724
1400000US53003960600,53003960600,"Census Tract 9606, Asotin County, Washington",19119,40422,65352,86025,160820,269633
1400000US53005010100,53005010100,"Census Tract 101, Benton County, Washington",37425,78502,117169,156240,249263,372479
1400000US53005010201,53005010201,"Census Tract 102.01, Benton County, Washington",26588,64030,101311,139304,220573,319894
1400000US53005010202,53005010202,"Census Tract 102.02, Benton County, Washington",12099,30947,53380,83528,161775,246102
1400000US53005010300,53005010300,"Census Tract 103, Benton County, Washington",25284,48542,67423,92456,177939,312049
1400000US53005010400,53005010400,"Census Tract 104, Benton County, Washington",14354,33328,57539,83686,151140,229888
1400000US53005010500,53005010500,"Census Tract 105, Benton County, Washington",18451,38119,53985,82441,148622,214220
1400000US53005010600,53005010600,"Census Tract 106, Benton County, Washington",17206,34620,54126,85209,162775,243976
1400000US53005010701,53005010701,"Census Tract 107.01, Benton County, Washington",31866,51257,68391,97033,170436,219511
1400000US53005010703,53005010703,"Census Tract 107.03, Benton County, Washington",21798,38979,63453,94755,198466,326990
1400000US53005010705,53005010705,"Census Tract 107.05, Benton County, Washington",39905,80096,116785,150096,225716,306436
1400000US53005010707,53005010707,"Census Tract 107.07, Benton County, Washington",46547,85924,105864,136678,255790,456718
1400000US53005010708,53005010708,"Census Tract 107.08, Benton County, Washington",18586,50687,101303,143237,209142,264675
1400000US53005010803,53005010803,"Census Tract 108.03, Benton County, Washington",27971,59929,106325,155579,266225,382386
1400000US53005010805,53005010805,"Census Tract 108.05, Benton County, Washington",22171,58438,93061,131916,208678,305893
1400000US53005010807,53005010807,"Census Tract 108.07, Benton County, Washington",33794,60782,87722,127984,225834,313765
1400000US53005010809,53005010809,"Census Tract 108.09, Benton County, Washington",21465,44054,68341,93242,163366,234570
1400000US53005010810,53005010810,"Census Tract 108.10, Benton County, Washington",25388,60130,90162,129136,250600,418721
1400000US53005010811,53005010811,"Census Tract 108.11, Benton County, Washington",47213,102812,157135,205100,361784,552977
1400000US53005010813,53005010813,"Census Tract 108.13, Benton County, Washington",22503,53375,82199,122001,242435,406025
1400000US53005010814,53005010814,"Census Tract 108.14, Benton County, Washington",45527,96646,133709,180292,405041,810015
1400000US53005010901,53005010901,"Census Tract 109.01, Benton County, Washington",10860,24266,47605,70259,125467,182875
1400000US53005010902,53005010902,"Census Tract 109.02, Benton County, Washington",15180,31435,51815,72477,134296,210495
1400000US53005011001,53005011001,"Census Tract 110.01, Benton County, Washington",9455,27272,46175,62625,107116,162329
1400000US53005011002,53005011002,"Census Tract 110.02, Benton County, Washington",9446,28300,42685,60836,121764,181944
1400000US53005011100,53005011100,"Census Tract 111, Benton County, Washington",15689,43436,62925,89635,141380,191307
1400000US53005011200,53005011200,"Census Tract 112, Benton County, Washington",7225,17739,33183,54695,124950,256768
1400000US53005011300,53005011300,"Census Tract 113, Benton County, Washington",9103,28024,46315,71711,138741,216692
1400000US53005011401,53005011401,"Census Tract 114.01, Benton County, Washington",10622,22909,36368,59257,122540,210540
1400000US53005011402,53005011402,"Census Tract 114.02, Benton County, Washington",22018,57089,81532,106568,179196,270007
1400000US53005011501,53005011501,"Census Tract 115.01, Benton County, Washington",15145,43950,72390,93595,156910,224968
1400000US53005011503,53005011503,"Census Tract 115.03, Benton County, Washington",28702,54813,84155,118090,203799,300884
1400000US53005011504,53005011504,"Census Tract 115.04, Benton County, Washington",22422,60530,87604,113008,178027,234729
1400000US53005011600,53005011600,"Census Tract 116, Benton County, Washington",15955,39328,63065,84661,158368,277777
1400000US53005011700,53005011700,"Census Tract 117, Benton County, Washington",11590,28201,52787,74821,128254,180899
1400000US53005011800,53005011800,"Census Tract 118, Benton County, Washington",24483,44651,61890,97014,198012,321802
1400000US53005011900,53005011900,"Census Tract 119, Benton County, Washington",14329,37461,61712,85220,146416,223236
1400000US53005012000,53005012000,"Census Tract 120, Benton County, Washington",-,-,-,-,-,-
1400000US53007960100,53007960100,"Census Tract 9601, Chelan County, Washington",11080,33756,55777,81291,152169,221107
1400000US53007960200,53007960200,"Census Tract 9602, Chelan County, Washington",11977,39527,63281,98569,182575,263368
1400000US53007960300,53007960300,"Census Tract 9603, Chelan County, Washington",14007,39039,56033,87042,178862,279680
1400000US53007960400,53007960400,"Census Tract 9604, Chelan County, Washington",16476,34560,53133,82134,159979,300665
1400000US53007960500,53007960500,"Census Tract 9605, Chelan County, Washington",20702,41912,67020,102582,207757,360836
1400000US53007960600,53007960600,"Census Tract 9606, Chelan County, Washington",10819,31846,56289,81691,159904,229914
1400000US53007960700,53007960700,"Census Tract 9607, Chelan County, Washington",32069,64210,95103,129577,276669,484582
1400000US53007960801,53007960801,"Census Tract 9608.01, Chelan County, Washington",16044,43138,74140,128343,279725,397211
1400000US53007960802,53007960802,"Census Tract 9608.02, Chelan County, Washington",12437,28228,48104,71806,158072,292598
1400000US53007961000,53007961000,"Census Tract 9610, Chelan County, Washington",11105,26707,43081,69842,171023,338680
1400000US53007961100,53007961100,"Census Tract 9611, Chelan County, Washington",17636,37442,52586,72760,141137,232460
1400000US53007961200,53007961200,"Census Tract 9612, Chelan County, Washington",18908,51107,77747,122027,291979,666295
1400000US53007961301,53007961301,"Census Tract 9613.01, Chelan County, Washington",11745,43850,72027,128488,326253,605461
1400000US53007961302,53007961302,"Census Tract 9613.02, Chelan County, Washington",20971,37519,64397,96812,177013,273893
1400000US53009000200,53009000200,"Census Tract 2, Clallam County, Washington",15291,29294,49752,75616,124888,179207
1400000US53009000300,53009000300,"Census Tract 3, Clallam County, Washington",10843,26920,38659,61871,127162,199501
1400000US53009000400,53009000400,"Census Tract 4, Clallam County, Washington",11716,28694,59687,93658,174353,252123
1400000US53009000600,53009000600,"Census Tract 6, Clallam County, Washington",13856,41426,69272,96342,196361,320894
1400000US53009000700,53009000700,"Census Tract 7, Clallam County, Washington",14097,30089,58416,83143,132503,166361
1400000US53009000800,53009000800,"Census Tract 8, Clallam County, Washington",13839,30116,47603,66930,114213,170096
1400000US53009000900,53009000900,"Census Tract 9, Clallam County, Washington",8776,20738,37173,64967,125308,189939
1400000US53009001000,53009001000,"Census Tract 10, Clallam County, Washington",9107,22038,42851,68054,123890,190710
1400000US53009001100,53009001100,"Census Tract 11, Clallam County, Washington",12319,32047,53790,80531,185658,373035
1400000US53009001200,53009001200,"Census Tract 12, Clallam County, Washington",12834,29586,50564,87613,180721,299173
1400000US53009001300,53009001300,"Census Tract 13, Clallam County, Washington",13510,30912,49441,82609,140462,190425
1400000US53009001400,53009001400,"Census Tract 14, Clallam County, Washington",17572,46414,68905,110344,180779,237663
1400000US53009001500,53009001500,"Census Tract 15, Clallam County, Washington",13896,36605,61843,95567,181279,267440
1400000US53009001600,53009001600,"Census Tract 16, Clallam County, Washington",14848,33569,49362,72083,147184,247806
1400000US53009001700,53009001700,"Census Tract 17, Clallam County, Washington",16801,37403,55712,80665,152415,230171
1400000US53009001800,53009001800,"Census Tract 18, Clallam County, Washington",18635,51021,66934,88633,176462,289252
1400000US53009001900,53009001900,"Census Tract 19, Clallam County, Washington",17958,42922,67799,97263,171771,265764
1400000US53009002000,53009002000,"Census Tract 20, Clallam County, Washington",16286,31528,53882,92496,182881,289373
1400000US53009002100,53009002100,"Census Tract 21, Clallam County, Washington",6883,17579,35480,51522,116623,185337
1400000US53009002300,53009002300,"Census Tract 23, Clallam County, Washington",11325,31137,52107,80408,178817,336246
1400000US53009940000,53009940000,"Census Tract 9400, Clallam County, Washington",10331,27417,45158,68918,130597,203094
1400000US53009990100,53009990100,"Census Tract 9901, Clallam County, Washington",-,-,-,-,-,-
